*********************************************************************************
Sensor Log file is generated using GNSS/IMU Logger (Version v1.0.0.0)
Sensor Flag- 1 : Accelerometer [m/s2]  2: Gyroscope [rad/s]  3: Magnetometer [μT]
UNIX Epoch timestamp,sensor Flag,x-axis,y-axis,z-axis
*********************************************************************************
1604193988339,3,-20.292282,-9.885788,64.63127 
1604193988343,1,0.055038452,-0.44267273,9.413361 
1604193988343,2,-0.07421875,-0.07701111,0.041412354 
1604193988345,1,0.13639832,-0.4283142,9.470795 
1604193988345,2,-0.09008789,-0.07333374,0.03652954 
1604193988347,1,0.18664551,-0.4355011,9.561722 
1604193988348,2,-0.10964966,-0.06967163,0.032852173 
1604193988350,1,0.21057129,-0.42591858,9.643082 
1604193988350,2,-0.1108551,-0.059906006,0.024307251 
1604193988352,1,0.2368927,-0.41874695,9.734009 
1604193988352,2,-0.11941528,-0.050125122,0.018203735 
1604193988355,1,0.2632141,-0.40438843,9.808182 
1604193988355,2,-0.12797546,-0.04156494,0.012084961 
1604193988357,1,0.275177,-0.40438843,9.872787 
1604193988357,2,-0.13529968,-0.031799316,0.0059814453 
1604193988359,1,0.27757263,-0.39720154,9.908676 
1604193988359,2,-0.13653564,-0.024475098,0.003540039 
1604193988362,1,0.29670715,-0.38763428,9.98764 
1604193988362,2,-0.13285828,-0.015914917,-0.0062408447 
1604193988359,3,-20.292282,-10.059357,64.29367 
1604193988364,1,0.29670715,-0.38285828,10.071396 
1604193988364,2,-0.13529968,-0.006149292,-0.011123657 
1604193988367,1,0.29670715,-0.37088013,10.140778 
1604193988367,2,-0.13409424,0.0060577393,-0.014785767 
1604193988369,1,0.3062744,-0.35653687,10.207779 
1604193988369,2,-0.124298096,0.017044067,-0.018447876 
1604193988371,1,0.29910278,-0.33021545,10.246063 
1604193988371,2,-0.12185669,0.026824951,-0.022125244 
1604193988374,1,0.28474426,-0.3134613,10.272385 
1604193988374,2,-0.112091064,0.03416443,-0.023330688 
1604193988376,1,0.29670715,-0.28953552,10.298706 
1604193988376,2,-0.09742737,0.041488647,-0.025772095 
1604193988378,1,0.3062744,-0.28234863,10.31546 
1604193988378,2,-0.092544556,0.04637146,-0.028213501 
1604193988380,1,0.3014984,-0.26560974,10.320251 
1604193988381,2,-0.076660156,0.052490234,-0.029449463 
1604193988379,3,-20.46547,-10.406113,64.29367 
1604193988382,1,0.28953552,-0.2416687,10.322632 
1604193988383,2,-0.06565857,0.05857849,-0.029449463 
1604193988386,1,0.28234863,-0.24406433,10.313065 
1604193988385,2,-0.05101013,0.06591797,-0.03189087 
1604193988387,1,0.2536316,-0.26081848,10.291534 
1604193988387,2,-0.03878784,0.07569885,-0.029449463 
1604193988390,1,0.24406433,-0.2871399,10.291534 
1604193988390,2,-0.025344849,0.08180237,-0.030654907 
1604193988392,1,0.2416687,-0.28953552,10.265213 
1604193988392,2,-0.013122559,0.08668518,-0.03189087 
1604193988395,1,0.22253418,-0.30867004,10.226929 
1604193988394,2,-0.00579834,0.09158325,-0.030654907 
1604193988396,1,0.18424988,-0.33021545,10.207779 
