*********************************************************************************
Sensor Log file is generated using GNSS/IMU Logger (Version v1.0.0.0)
Sensor Flag- 1 : Accelerometer [m/s2]  2: Gyroscope [rad/s]  3: Magnetometer [μT]
UNIX Epoch timestamp,sensor Flag,x-axis,y-axis,z-axis
*********************************************************************************
1603504341573,2,0.12875366,-0.2386322,-0.07376099 
1603504341576,1,0.007171631,1.2035828,9.480362 
1603504341576,2,0.114089966,-0.23986816,-0.063964844 
1603504341577,1,0.01675415,1.2131653,9.487549 
1603504341578,2,0.09700012,-0.2361908,-0.05908203 
1603504341580,1,0.028717041,1.2012024,9.506683 
1603504341580,2,0.085998535,-0.23374939,-0.049331665 
1603504341577,3,-16.996765,14.048386,67.66853 
1603504341583,1,0.055038452,1.208374,9.497116 
1603504341582,2,0.06523132,-0.23007202,-0.042007446 
1603504341585,1,0.090927124,1.2155609,9.509079 
1603504341585,2,0.046920776,-0.22763062,-0.035888672 
1603504341587,1,0.12921143,1.2131653,9.516251 
1603504341587,2,0.033477783,-0.21786499,-0.028564453 
1603504341589,1,0.17468262,1.2227325,9.521042 
1603504341589,2,0.018829346,-0.20809937,-0.020004272 
1603504341592,1,0.2033844,1.2370911,9.516251 
1603504341592,2,0.0017089844,-0.19833374,-0.011459351 
1603504341594,1,0.23210144,1.2418823,9.533005 
1603504341594,2,-0.015380859,-0.18609619,-0.0065612793 
1603504341597,1,0.275177,1.2610168,9.533005 
1603504341596,2,-0.03126526,-0.18000793,-4.7302246E-4 
1603504341598,1,0.2679901,1.2849426,9.530609 
1603504341598,2,-0.05204773,-0.1726532,0.0032043457 
1603504341597,3,-17.343521,14.56871,67.837524 
1603504341601,1,0.28234863,1.2849426,9.540192 
1603504341601,2,-0.06303406,-0.16288757,0.010528564 
1603504341603,1,0.29910278,1.282547,9.559326 
1603504341603,2,-0.08013916,-0.15556335,0.015411377 
1603504341605,1,0.29670715,1.2753754,9.585648 
1603504341605,2,-0.09358215,-0.14944458,0.020309448 
1603504341608,1,0.3134613,1.2562256,9.633499 
1603504341608,2,-0.10458374,-0.13600159,0.02519226 
1603504341610,1,0.32781982,1.2370911,9.676575 
1603504341610,2,-0.1131134,-0.12745667,0.027633667 
1603504341613,1,0.32063293,1.2107697,9.726822 
1603504341613,2,-0.13267517,-0.11647034,0.031295776 
1603504341615,1,0.32063293,1.1964111,9.76033 
1603504341615,2,-0.13267517,-0.103027344,0.03741455 
1603504341617,1,0.3254242,1.1652985,9.791428 
1603504341617,2,-0.1448822,-0.09202576,0.042297363 
1603504341620,1,0.33738708,1.1509552,9.824936 
1603504341620,2,-0.14855957,-0.079818726,0.04107666 
1603504341617,3,-16.996765,14.742279,67.49992 
1603504341622,1,0.34695435,1.1318054,9.867996 
1603504341622,2,-0.14855957,-0.06881714,0.045959473 
1603504341624,1,0.34934998,1.1198425,9.887146 
1603504341624,2,-0.14732361,-0.05783081,0.047180176 
1603504341627,1,0.34695435,1.0791626,9.889542 
1603504341627,2,-0.14732361,-0.04560852,0.045959473 
